Id,Amount,Currency,Year,Work experience,Education,Company size,Designation,Status,Created at,Updated at,Primary technology,Pegged salary,Advice,Company base lk,Id [Salary votes],Vote type [Salary votes],Created at [Salary votes],Updated at [Salary votes]
3,120000,LKR,2018,1_to_3,bachelors_degree,100_to_500,senior_software_engineer,approved,5/24/2022 14:42,5/24/2022 14:42,reactjs,nil, - ,TRUE,,,,
4,65000,LKR,2020,1_to_3,bachelors_degree,100_to_500,associate_software_engineer,approved,5/24/2022 14:45,5/24/2022 14:45,javascript,nil, - ,TRUE,14,accurate,5/25/2022 11:29,5/25/2022 11:29
5,230000,LKR,2022,1_to_3,bachelors_degree,100_to_500,software_engineer,approved,5/24/2022 14:47,5/24/2022 14:47, - ,nil, - ,TRUE,,,,
6,260000,LKR,2022,7_to_9,bachelors_degree,100_to_500,senior_ui_ux_engineer,approved,5/24/2022 15:11,5/24/2022 15:11,css,nil, - ,TRUE,"7,10","fake,accurate","May 24, 2022 16:00,May 24, 2022 18:17","May 24, 2022 16:00,May 24, 2022 18:17"
7,120000,LKR,2022,1_to_3,bachelors_degree,20_to_50,software_engineer,approved,5/24/2022 15:19,5/24/2022 15:19,php,nil, - ,TRUE,,,,
8,450000,LKR,2022,4_to_6,masters,100_to_500,associate_tech_lead,approved,5/24/2022 15:19,5/24/2022 15:19,c#,nil, - ,TRUE,"5,8,11","accurate,accurate,accurate","May 24, 2022 15:38,May 24, 2022 16:28,May 25, 2022 04:42","May 24, 2022 15:38,May 24, 2022 16:28,May 25, 2022 04:42"
9,280000,LKR,2022,4_to_6,bachelors_degree,100_to_500,tech_lead,approved,5/24/2022 15:23,5/24/2022 15:23,java,nil, - ,TRUE,,,,
10,250000,LKR,2022,1_to_3,bachelors_degree,100_to_500,senior_software_engineer,approved,5/24/2022 15:24,5/24/2022 15:24,c#,nil, - ,TRUE,,,,
11,295000,LKR,2022,4_to_6,bachelors_degree,more_than_500,senior_ui_ux_engineer,approved,5/24/2022 15:37,5/24/2022 15:37,html,nil, - ,TRUE,"6,17","accurate,accurate","May 24, 2022 15:48,May 27, 2022 15:03","May 24, 2022 15:48,May 27, 2022 15:03"
12,300,USD,2022,1_to_3,bachelors_degree,10_to_20, - ,approved,5/24/2022 15:57,5/24/2022 15:57, - ,nil, - ,TRUE,,,,
13,110000,LKR,2022,1_to_3,bachelors_degree,below_10,ui_ux_engineer,approved,5/24/2022 16:03,5/24/2022 16:03, - ,nil, - ,TRUE,16,accurate,5/27/2022 15:03,5/27/2022 15:03
14,230000,LKR,2022,1_to_3,bachelors_degree,100_to_500,senior_software_engineer,approved,5/24/2022 16:05,5/24/2022 16:05,node_js,nil, - ,TRUE,,,,
15,680000,LKR,2022,10_to_14,bachelors_degree,10_to_20,senior_software_engineer,approved,5/24/2022 16:07,5/24/2022 16:07,android,nil, - ,TRUE,,,,
16,240000,LKR,2022,4_to_6,bachelors_degree,100_to_500,associate_tech_lead,approved,5/24/2022 16:17,5/24/2022 16:17,java,nil, - ,TRUE,9,accurate,5/24/2022 16:38,5/24/2022 16:38
17,6500,SGD,2022,4_to_6,bachelors_degree,100_to_500,software_engineer,approved,5/24/2022 16:27,5/24/2022 16:27,javascript,nil, - ,TRUE,,,,
18,430000,LKR,2022,1_to_3,bachelors_degree,20_to_50,senior_software_engineer,approved,5/24/2022 16:36,5/24/2022 16:36,java,nil, - ,TRUE,,,,
19,350000,LKR,2022,4_to_6,bachelors_degree,100_to_500,senior_software_engineer,approved,5/24/2022 16:37,5/24/2022 16:37,java,nil, - ,TRUE,,,,
20,260000,LKR,2021,1_to_3,bachelors_degree,100_to_500,associate_tech_lead,approved,5/24/2022 16:39,5/24/2022 16:39,java,nil, - ,TRUE,,,,
21,1800000,LKR,2022,7_to_9,bachelors_degree,below_10,senior_software_engineer,approved,5/24/2022 16:44,5/24/2022 16:44,php,nil, - ,TRUE,23,fake,5/28/2022 3:29,5/28/2022 3:29
22,35000,LKR,2022,1_to_3,bachelors_degree,20_to_50,qa_engineer,approved,5/24/2022 16:45,5/24/2022 16:45,java,nil, - ,TRUE,,,,
23,1500000,LKR,2022,7_to_9,masters,20_to_50,tech_lead,approved,5/24/2022 16:47,5/24/2022 16:47,java,nil, - ,TRUE,,,,
24,200000,LKR,2022,4_to_6,bachelors_degree,20_to_50,qa_lead,approved,5/24/2022 17:03,5/24/2022 17:03,javascript,nil, - ,TRUE,,,,
25,250000,LKR,2020,1_to_3,bachelors_degree,100_to_500,senior_business_analyst,approved,5/24/2022 17:09,5/24/2022 17:09,sql,nil, - ,TRUE,,,,
26,200000,LKR,2019,1_to_3,bachelors_degree,50_to_100,senior_business_analyst,approved,5/24/2022 17:09,5/24/2022 17:09,python,nil, - ,TRUE,,,,
27,1500,USD,2022,1_to_3,bachelors_degree,100_to_500,senior_software_engineer,approved,5/24/2022 17:15,5/24/2022 17:15,node_js,nil, - ,TRUE,,,,
28,175000,LKR,2022,1_to_3,bachelors_degree,100_to_500,software_engineer,approved,5/24/2022 17:16,5/24/2022 17:16,java,nil, - ,TRUE,13,accurate,5/25/2022 11:27,5/25/2022 11:27
29,320000,LKR,2022,4_to_6,bachelors_degree,more_than_500,senior_software_engineer,approved,5/24/2022 17:20,5/24/2022 17:20,java,nil, - ,TRUE,,,,
30,1000,USD,2022,0_to_1,bachelors_degree,more_than_500,software_engineer,approved,5/24/2022 17:21,5/24/2022 17:21,java,nil, - ,TRUE,,,,
31,271000,LKR,2022,1_to_3,bachelors_degree,10_to_20,senior_software_engineer,approved,5/24/2022 17:26,5/24/2022 17:26,python,nil, - ,TRUE,,,,
32,370000,LKR,2022,4_to_6,bachelors_degree,100_to_500,associate_tech_lead,approved,5/24/2022 17:28,5/24/2022 17:28,c++,nil, - ,TRUE,,,,
33,240000,LKR,2022,1_to_3,bachelors_degree,more_than_500,ui_ux_engineer,approved,5/24/2022 17:53,5/24/2022 17:53,css,nil, - ,TRUE,15,accurate,5/27/2022 15:02,5/27/2022 15:02
34,239000,LKR,2022,4_to_6,bachelors_degree,more_than_500,senior_software_engineer,approved,5/24/2022 18:15,5/24/2022 18:15,c#,nil, - ,TRUE,,,,
