Work experience,Education,Company size,Amount,Designation,Currency,Status,Year
1_to_3,bachelors_degree,100_to_500,120000,senior_software_engineer,LKR,approved,2018
1_to_3,bachelors_degree,100_to_500,65000,associate_software_engineer,LKR,approved,2020
1_to_3,bachelors_degree,100_to_500,230000,software_engineer,LKR,approved,2022
7_to_9,bachelors_degree,100_to_500,260000,senior_ui_ux_engineer,LKR,approved,2022
1_to_3,bachelors_degree,20_to_50,120000,software_engineer,LKR,approved,2022
4_to_6,masters,100_to_500,450000,associate_technical_lead,LKR,approved,2022
4_to_6,bachelors_degree,100_to_500,280000,technical_lead,LKR,approved,2022
1_to_3,bachelors_degree,100_to_500,250000,senior_software_engineer,LKR,approved,2022
4_to_6,bachelors_degree,more_than_500,295000,senior_ui_ux_engineer,LKR,approved,2022
1_to_3,bachelors_degree,below_10,110000,ui_ux_engineer,LKR,approved,2022
1_to_3,bachelors_degree,100_to_500,230000,senior_software_engineer,LKR,approved,2022
10_to_14,bachelors_degree,10_to_20,680000,senior_software_engineer,LKR,approved,2022
4_to_6,bachelors_degree,100_to_500,240000,associate_technical_lead,LKR,approved,2022
4_to_6,bachelors_degree,100_to_500,1566500,software_engineer,LKR,approved,2022
1_to_3,bachelors_degree,20_to_50,430000,senior_software_engineer,LKR,approved,2022
4_to_6,bachelors_degree,100_to_500,350000,senior_software_engineer,LKR,approved,2022
1_to_3,bachelors_degree,100_to_500,260000,associate_technical_lead,LKR,approved,2021
7_to_9,bachelors_degree,below_10,1800000,senior_software_engineer,LKR,approved,2022
1_to_3,bachelors_degree,20_to_50,35000,qa_engineer,LKR,approved,2022
7_to_9,masters,20_to_50,1500000,technical_lead,LKR,approved,2022
4_to_6,bachelors_degree,20_to_50,200000,qa_lead,LKR,approved,2022
1_to_3,bachelors_degree,100_to_500,250000,senior_business_analyst,LKR,approved,2020
1_to_3,bachelors_degree,50_to_100,200000,senior_business_analyst,LKR,approved,2019
1_to_3,bachelors_degree,100_to_500,480000,senior_software_engineer,LKR,approved,2022
1_to_3,bachelors_degree,100_to_500,175000,software_engineer,LKR,approved,2022
4_to_6,bachelors_degree,more_than_500,320000,senior_software_engineer,LKR,approved,2022
0_to_1,bachelors_degree,more_than_500,320000,software_engineer,LKR,approved,2022
1_to_3,bachelors_degree,10_to_20,271000,senior_software_engineer,LKR,approved,2022
4_to_6,bachelors_degree,100_to_500,370000,associate_technical_lead,LKR,approved,2022
1_to_3,bachelors_degree,more_than_500,240000,ui_ux_engineer,LKR,approved,2022
4_to_6,bachelors_degree,more_than_500,239000,senior_software_engineer,LKR,approved,2022
4_to_6,masters,100_to_500,265000,associate_technical_lead,LKR,approved,2022
0_to_1,bachelors_degree,100_to_500,90000,software_engineer,LKR,approved,2016
4_to_6,bachelors_degree,20_to_50,645650,technical_lead,LKR,approved,2022
7_to_9,masters,more_than_500,350000,qa_lead,LKR,approved,2022
0_to_1,bachelors_degree,more_than_500,200000,qa_engineer,LKR,approved,2022
1_to_3,bachelors_degree,more_than_500,267000,senior_qa_engineer,LKR,approved,2022
7_to_9,bachelors_degree,more_than_500,390000,qa_lead,LKR,approved,2022
4_to_6,bachelors_degree,20_to_50,2240000,software_engineer,LKR,approved,2022
1_to_3,bachelors_degree,100_to_500,260000,software_engineer,LKR,approved,2022
4_to_6,bachelors_degree,20_to_50,450000,software_engineer,LKR,approved,2022
